event_name,event_date,fight_url
UFC Fight Night: Grasso vs. Araujo,10/15/2022,http://ufcstats.com/fight-details/759c55755d70f7ba
UFC Fight Night: Grasso vs. Araujo,10/15/2022,http://ufcstats.com/fight-details/96d4fe315722d1c1
UFC Fight Night: Grasso vs. Araujo,10/15/2022,http://ufcstats.com/fight-details/59695aae245cca73
UFC Fight Night: Grasso vs. Araujo,10/15/2022,http://ufcstats.com/fight-details/8252a314c778b8e6
UFC Fight Night: Grasso vs. Araujo,10/15/2022,http://ufcstats.com/fight-details/860050f211b44d10
UFC Fight Night: Grasso vs. Araujo,10/15/2022,http://ufcstats.com/fight-details/b4bbc1b7efa770f5
UFC Fight Night: Grasso vs. Araujo,10/15/2022,http://ufcstats.com/fight-details/60bd4d2878c85f70
UFC Fight Night: Grasso vs. Araujo,10/15/2022,http://ufcstats.com/fight-details/fac560495e61d34c
UFC Fight Night: Grasso vs. Araujo,10/15/2022,http://ufcstats.com/fight-details/84b04e8d6b251c54
UFC Fight Night: Dern vs. Yan,10/01/2022,http://ufcstats.com/fight-details/d33814971932422a
UFC Fight Night: Dern vs. Yan,10/01/2022,http://ufcstats.com/fight-details/7d0d2cecab358ba1
UFC Fight Night: Dern vs. Yan,10/01/2022,http://ufcstats.com/fight-details/a73e33dfce8fcfd8
UFC Fight Night: Dern vs. Yan,10/01/2022,http://ufcstats.com/fight-details/1aedd959f1523a27
UFC Fight Night: Dern vs. Yan,10/01/2022,http://ufcstats.com/fight-details/330506571d2778b1
UFC Fight Night: Dern vs. Yan,10/01/2022,http://ufcstats.com/fight-details/63f6af6d5f7b82ad
UFC Fight Night: Dern vs. Yan,10/01/2022,http://ufcstats.com/fight-details/de93fda66d203c26
UFC Fight Night: Dern vs. Yan,10/01/2022,http://ufcstats.com/fight-details/ecc56a86a1eead9d
UFC Fight Night: Dern vs. Yan,10/01/2022,http://ufcstats.com/fight-details/8c9ff13791378784
UFC Fight Night: Dern vs. Yan,10/01/2022,http://ufcstats.com/fight-details/ad59e2de1ab5c8d2
UFC Fight Night: Dern vs. Yan,10/01/2022,http://ufcstats.com/fight-details/6c79db79da9ae874
UFC Fight Night: Sandhagen vs. Song,09/17/2022,http://ufcstats.com/fight-details/df370b97ea49e6b4
UFC Fight Night: Sandhagen vs. Song,09/17/2022,http://ufcstats.com/fight-details/bd06f1c2d7e6c4a0
UFC Fight Night: Sandhagen vs. Song,09/17/2022,http://ufcstats.com/fight-details/adb78db5ba8ccc0f
UFC Fight Night: Sandhagen vs. Song,09/17/2022,http://ufcstats.com/fight-details/160c17b8fcb0e2a1
UFC Fight Night: Sandhagen vs. Song,09/17/2022,http://ufcstats.com/fight-details/3cbd3565dd631cc4
UFC Fight Night: Sandhagen vs. Song,09/17/2022,http://ufcstats.com/fight-details/ce5ebaf8caf8c4a7
UFC Fight Night: Sandhagen vs. Song,09/17/2022,http://ufcstats.com/fight-details/f521ecde1e96a1bd
UFC Fight Night: Sandhagen vs. Song,09/17/2022,http://ufcstats.com/fight-details/46b9acec12a35d37
UFC Fight Night: Sandhagen vs. Song,09/17/2022,http://ufcstats.com/fight-details/ec0740be19b2ef90
UFC Fight Night: Sandhagen vs. Song,09/17/2022,http://ufcstats.com/fight-details/35d06627d91b840d
UFC Fight Night: Sandhagen vs. Song,09/17/2022,http://ufcstats.com/fight-details/d9f5d05b07bae09e
UFC Fight Night: Sandhagen vs. Song,09/17/2022,http://ufcstats.com/fight-details/be73f75b52b06f14
UFC Fight Night: Sandhagen vs. Song,09/17/2022,http://ufcstats.com/fight-details/8a044e5400b4318f
UFC 279: Diaz vs. Ferguson,09/10/2022,http://ufcstats.com/fight-details/7e8fd03e070d0c25
UFC 279: Diaz vs. Ferguson,09/10/2022,http://ufcstats.com/fight-details/0111e6a64b5184c6
UFC 279: Diaz vs. Ferguson,09/10/2022,http://ufcstats.com/fight-details/d3e23d7d207d3ccf
UFC 279: Diaz vs. Ferguson,09/10/2022,http://ufcstats.com/fight-details/989b8d362742f40b
UFC 279: Diaz vs. Ferguson,09/10/2022,http://ufcstats.com/fight-details/d869eaea38426f06
UFC 279: Diaz vs. Ferguson,09/10/2022,http://ufcstats.com/fight-details/0e6d624086f7952e
UFC 279: Diaz vs. Ferguson,09/10/2022,http://ufcstats.com/fight-details/301f230c90c4bd7d
UFC 279: Diaz vs. Ferguson,09/10/2022,http://ufcstats.com/fight-details/77acb96700e89c92
UFC 279: Diaz vs. Ferguson,09/10/2022,http://ufcstats.com/fight-details/bf334cb4e63f3430
UFC 279: Diaz vs. Ferguson,09/10/2022,http://ufcstats.com/fight-details/db3e26d02d790c97
UFC 279: Diaz vs. Ferguson,09/10/2022,http://ufcstats.com/fight-details/6010f681e54ba2cd
UFC 279: Diaz vs. Ferguson,09/10/2022,http://ufcstats.com/fight-details/a5cf273faa3982b7
UFC 279: Diaz vs. Ferguson,09/10/2022,http://ufcstats.com/fight-details/86d57e8ef2191316
UFC Fight Night: Gane vs. Tuivasa,09/03/2022,http://ufcstats.com/fight-details/810c9da07970c4a6
UFC Fight Night: Gane vs. Tuivasa,09/03/2022,http://ufcstats.com/fight-details/b8ca1acdf3dc2f58
UFC Fight Night: Gane vs. Tuivasa,09/03/2022,http://ufcstats.com/fight-details/20f316f96c9e4458
UFC Fight Night: Gane vs. Tuivasa,09/03/2022,http://ufcstats.com/fight-details/1a191251620a84ca
UFC Fight Night: Gane vs. Tuivasa,09/03/2022,http://ufcstats.com/fight-details/398db40015b3c81c
