fighter,fighter_url
Joaquim Silva,http://ufcstats.com/fighter-details/ae7fe94f117f98cf
Jesus Aguilar,http://ufcstats.com/fighter-details/c051c2e12d692b8a
Montse Rendon,http://ufcstats.com/fighter-details/60193e707634e560
Nassourdine Imavov,http://ufcstats.com/fighter-details/881bf86d4cba8578
Axel Sola,http://ufcstats.com/fighter-details/1d2d98ddd05b38fb
William Gomis,http://ufcstats.com/fighter-details/e1d40e8782d80bc2
Oumar Sy,http://ufcstats.com/fighter-details/46e2011d92463b7e
Ante Delija,http://ufcstats.com/fighter-details/7d8435c56043b0ae
Kaue Fernandes,http://ufcstats.com/fighter-details/ec13c393d029297d
Sam Patterson,http://ufcstats.com/fighter-details/8b6e5dc2ba1edbe7
Robert Bryczek,http://ufcstats.com/fighter-details/f96856f9d69fd7e4
Rinat Fakhretdinov,http://ufcstats.com/fighter-details/8f765fd5775a8873
Sam Hughes,http://ufcstats.com/fighter-details/e94085e821bd81de
Johnny Walker,http://ufcstats.com/fighter-details/c21f26bbde777573
Taiyilake Nueraji,http://ufcstats.com/fighter-details/7498b3ac79a3b948
Rongzhu,http://ufcstats.com/fighter-details/a13d755965a4ec9f
Yizha,http://ufcstats.com/fighter-details/3f11fd1751fa83b1
SuYoung You,http://ufcstats.com/fighter-details/a474aade8eb3a8f0
Uran Satybaldiev,http://ufcstats.com/fighter-details/02f484417a6fa69d
Bruna Brasil,http://ufcstats.com/fighter-details/7138a15258dabf20
Khamzat Chimaev,http://ufcstats.com/fighter-details/767755fd74662dbf
Lerone Murphy,http://ufcstats.com/fighter-details/396fe87b84ac2e1c
Tim Elliott,http://ufcstats.com/fighter-details/c96d9178c9ed9e62
Loopy Godinez,http://ufcstats.com/fighter-details/8e5d953bdb9ae5e7
Drakkar Klose,http://ufcstats.com/fighter-details/7cbf7c78d3b34218
Karine Silva,http://ufcstats.com/fighter-details/9d62c2d8ee151f08
Anthony Hernandez,http://ufcstats.com/fighter-details/093e1f5bb73850be
Iasmin Lucindo,http://ufcstats.com/fighter-details/abcf2cc6efc42031
Andre Fili,http://ufcstats.com/fighter-details/8fd808923cffff82
Julius Walker,http://ufcstats.com/fighter-details/6add18754930182b
Gabriella Fernandes,http://ufcstats.com/fighter-details/a6eb54ae17a551be
Esteban Ribovics,http://ufcstats.com/fighter-details/323d4ca260dfa0ba
Karol Rosa,http://ufcstats.com/fighter-details/351c4ec637380ad5
Rinya Nakamura,http://ufcstats.com/fighter-details/d8c811df0386d5e8
Rodolfo Vieira,http://ufcstats.com/fighter-details/260e9e0d4954aea6
Andrey Pulyaev,http://ufcstats.com/fighter-details/22e07d3da1aa3475
Austin Bashi,http://ufcstats.com/fighter-details/d3f89fa685bd8420
Rafael Estevam,http://ufcstats.com/fighter-details/83455a9d17f57dae
Reinier de Ridder,http://ufcstats.com/fighter-details/d549cefc7c54ab78
Bogdan Guskov,http://ufcstats.com/fighter-details/ef5dcb10d2bd4b0f
Muslim Salikhov,http://ufcstats.com/fighter-details/447f9858ae78f921
Tabatha Ricci,http://ufcstats.com/fighter-details/d25240135aee03e5
Steven Nguyen,http://ufcstats.com/fighter-details/69037fc7730e4225
Martin Buday,http://ufcstats.com/fighter-details/8eb046f83e82bf26
Max Holloway,http://ufcstats.com/fighter-details/150ff4cc642270b9
Daniel Rodriguez,http://ufcstats.com/fighter-details/8a1f3b5c526cd6e6
Patricio Pitbull,http://ufcstats.com/fighter-details/98a58c26c5b1ed17
Michael Johnson,http://ufcstats.com/fighter-details/511e82663651438d
Islam Dulatov,http://ufcstats.com/fighter-details/e803242fb2e41112
Derrick Lewis,http://ufcstats.com/fighter-details/d3df1add9d9a7efb
Morgan Charriere,http://ufcstats.com/fighter-details/5b03b61f9d90125e
Tuco Tokkos,http://ufcstats.com/fighter-details/3e8118c1ab52f211
Chris Curtis,http://ufcstats.com/fighter-details/5442f1bc4b47eaf3
Eduarda Moura,http://ufcstats.com/fighter-details/de594b35c45c2e9a
Mike Davis,http://ufcstats.com/fighter-details/fb3e61720be4690c
Ilia Topuria,http://ufcstats.com/fighter-details/54f64b5e283b0ce7
Alexandre Pantoja,http://ufcstats.com/fighter-details/a0f0004aadf10b71
Beneil Dariush,http://ufcstats.com/fighter-details/08af939f41b5a57b
Tracy Cortez,http://ufcstats.com/fighter-details/68d4a891e5cf2029
Jhonata Diniz,http://ufcstats.com/fighter-details/25f9a5f3e8a52618
Khalil Rountree Jr.,http://ufcstats.com/fighter-details/749f572d1d3161fb
